Rank,Country or area,UN continentalregion[4],UN statisticalregion[4],Population(1 July 2018)[5],Population(1 July 2019)[5],Change
54,Cameroon,Africa,Middle Africa,"25,216,267","25,876,380",+2.6%
55,Australia[g],Oceania,Australia and New Zealand,"24,898,152","25,203,198",+1.2%
56,Taiwan[h],Asia,Eastern Asia,"23,726,460","23,773,876",+0.2%
57,Niger,Africa,Western Africa,"22,442,822","23,310,715",+3.9%
58,Sri Lanka,Asia,Southern Asia,"21,228,763","21,323,733",+0.4%
59,Burkina Faso,Africa,Western Africa,"19,751,466","20,321,378",+2.9%
60,Mali,Africa,Western Africa,"19,077,749","19,658,031",+3.0%
61,Romania,Europe,Eastern Europe,"19,506,114","19,364,557",−0.7%
62,Malawi,Africa,Eastern Africa,"18,143,217","18,628,747",+2.7%
63,Chile,Americas,South America,"18,729,160","18,952,038",+1.2%
64,Kazakhstan,Asia,Central Asia,"18,319,618","18,551,427",+1.3%
65,Zambia,Africa,Eastern Africa,"17,351,708","17,861,030",+2.9%
66,Guatemala,Americas,Central America,"17,247,849","17,581,472",+1.9%
67,Ecuador,Americas,South America,"17,084,358","17,373,662",+1.7%
68,Netherlands,Europe,Western Europe,"17,059,560","17,097,130",+0.2%
69,Syria,Asia,Western Asia,"16,945,057","17,070,135",+0.7%
70,Cambodia,Asia,South-eastern Asia,"16,249,792","16,486,542",+1.5%
71,Senegal,Africa,Western Africa,"15,854,323","16,296,364",+2.8%
72,Chad,Africa,Middle Africa,"15,477,729","15,946,876",+3.0%
73,Somalia,Africa,Eastern Africa,"15,008,226","15,442,905",+2.9%
74,Zimbabwe,Africa,Eastern Africa,"14,438,802","14,645,468",+1.4%
75,Guinea,Africa,Western Africa,"12,414,293","12,771,246",+2.9%
76,Rwanda,Africa,Eastern Africa,"12,301,970","12,626,950",+2.6%
77,Benin,Africa,Western Africa,"11,485,044","11,801,151",+2.8%
78,Tunisia,Africa,Northern Africa,"11,565,201","11,694,719",+1.1%
79,Belgium,Europe,Western Europe,"11,482,178","11,539,328",+0.5%
80,Bolivia,Americas,South America,"11,353,142","11,513,100",+1.4%
81,Cuba,Americas,Caribbean,"11,338,134","11,333,483",0.0%
82,Haiti,Americas,Caribbean,"11,123,178","11,263,770",+1.3%
83,South Sudan,Africa,Eastern Africa,"10,975,927","11,062,113",+0.8%
84,Burundi,Africa,Eastern Africa,"10,524,117","10,864,245",+3.2%
85,Dominican Republic,Americas,Caribbean,"10,627,141","10,738,958",+1.1%
86,Czech Republic,Europe,Eastern Europe,"10,665,677","10,689,209",+0.2%
87,Greece,Europe,Southern Europe,"10,522,246","10,473,455",−0.5%
88,Portugal,Europe,Southern Europe,"10,256,193","10,226,187",−0.3%
89,Jordan,Asia,Western Asia,"9,965,318","10,101,694",+1.4%
90,Azerbaijan[i],Asia,Western Asia,"9,949,537","10,047,718",+1.0%
91,Sweden,Europe,Northern Europe,"9,971,638","10,036,379",+0.6%
92,United Arab Emirates,Asia,Western Asia,"9,630,959","9,770,529",+1.4%
93,Honduras,Americas,Central America,"9,587,522","9,746,117",+1.7%
94,Hungary,Europe,Eastern Europe,"9,707,499","9,684,679",−0.2%
95,Belarus,Europe,Eastern Europe,"9,452,617","9,452,411",0.0%
96,Tajikistan,Asia,Central Asia,"9,100,835","9,321,018",+2.4%
97,Austria,Europe,Western Europe,"8,891,388","8,955,102",+0.7%
98,Papua New Guinea,Oceania,Melanesia,"8,606,323","8,776,109",+2.0%
99,Serbia[j],Europe,Southern Europe,"8,802,754","8,772,235",−0.3%
100,Switzerland,Europe,Western Europe,"8,525,611","8,591,365",+0.8%
101,Israel,Asia,Western Asia,"8,381,516","8,519,377",+1.6%
102,Togo,Africa,Western Africa,"7,889,093","8,082,366",+2.4%
103,Sierra Leone,Africa,Western Africa,"7,650,150","7,813,215",+2.1%
104,Hong Kong,Asia,Eastern Asia,"7,371,730","7,436,154",+0.9%
105,Laos,Asia,South-eastern Asia,"7,061,507","7,169,455",+1.5%
106,Paraguay,Americas,South America,"6,956,066","7,044,636",+1.3%
107,Bulgaria,Europe,Eastern Europe,"7,051,608","7,000,119",−0.7%
108,Lebanon,Asia,Western Asia,"6,859,408","6,855,713",−0.1%
109,Libya,Africa,Northern Africa,"6,678,559","6,777,452",+1.5%
110,Nicaragua,Americas,Central America,"6,465,501","6,545,502",+1.2%
111,El Salvador,Americas,Central America,"6,420,746","6,453,553",+0.5%
112,Kyrgyzstan,Asia,Central Asia,"6,304,030","6,415,850",+1.8%
113,Turkmenistan,Asia,Central Asia,"5,850,901","5,942,089",+1.6%
114,Singapore,Asia,South-eastern Asia,"5,757,499","5,804,337",+0.8%
115,Denmark,Europe,Northern Europe,"5,752,126","5,771,876",+0.3%
116,Finland[k],Europe,Northern Europe,"5,522,576","5,532,156",+0.2%
117,Slovakia,Europe,Eastern Europe,"5,453,014","5,457,013",+0.1%
118,Congo,Africa,Middle Africa,"5,244,359","5,380,508",+2.6%
119,Norway[l],Europe,Northern Europe,"5,337,962","5,378,857",+0.8%
120,Costa Rica,Americas,Central America,"4,999,441","5,047,561",+1.0%
121,Palestine[m],Asia,Western Asia,"4,862,979","4,981,420",+2.4%
122,Oman,Asia,Western Asia,"4,829,473","4,974,986",+3.0%
123,Liberia,Africa,Western Africa,"4,818,973","4,937,374",+2.5%
124,Ireland,Europe,Northern Europe,"4,818,690","4,882,495",+1.3%
125,New Zealand,Oceania,Australia and New Zealand,"4,743,131","4,783,063",+0.8%
126,Central African Republic,Africa,Middle Africa,"4,666,368","4,745,185",+1.7%
127,Mauritania,Africa,Western Africa,"4,403,313","4,525,696",+2.8%
128,Panama,Americas,Central America,"4,176,869","4,246,439",+1.7%
129,Kuwait,Asia,Western Asia,"4,137,312","4,207,083",+1.7%
130,Croatia,Europe,Southern Europe,"4,156,405","4,130,304",−0.6%
131,Moldova[n],Europe,Eastern Europe,"4,051,944","4,043,263",−0.2%
132,Georgia[o],Asia,Western Asia,"4,002,942","3,996,765",−0.2%
133,Eritrea,Africa,Eastern Africa,"3,452,786","3,497,117",+1.3%
134,Uruguay,Americas,South America,"3,449,285","3,461,734",+0.4%
135,Bosnia and Herzegovina,Europe,Southern Europe,"3,323,925","3,301,000",−0.7%
136,Mongolia,Asia,Eastern Asia,"3,170,216","3,225,167",+1.7%
137,Armenia,Asia,Western Asia,"2,951,745","2,957,731",+0.2%
138,Jamaica,Americas,Caribbean,"2,934,847","2,948,279",+0.5%
139,Puerto Rico,Americas,Caribbean,"3,039,596","2,933,408",−3.5%
140,Albania,Europe,Southern Europe,"2,882,740","2,880,917",−0.1%
141,Qatar,Asia,Western Asia,"2,781,682","2,832,067",+1.8%
142,Lithuania,Europe,Northern Europe,"2,801,264","2,759,627",−1.5%
143,Namibia,Africa,Southern Africa,"2,448,301","2,494,530",+1.9%
144,The Gambia,Africa,Western Africa,"2,280,094","2,347,706",+3.0%
145,Botswana,Africa,Southern Africa,"2,254,068","2,303,697",+2.2%
146,Gabon,Africa,Middle Africa,"2,119,275","2,172,579",+2.5%
147,Lesotho,Africa,Southern Africa,"2,108,328","2,125,268",+0.8%
148,North Macedonia,Europe,Southern Europe,"2,082,957","2,083,459",0.0%
149,Slovenia,Europe,Southern Europe,"2,077,837","2,078,654",0.0%
150,Guinea-Bissau,Africa,Western Africa,"1,874,303","1,920,922",+2.5%
151,Latvia,Europe,Northern Europe,"1,928,459","1,906,743",−1.1%
152,Bahrain,Asia,Western Asia,"1,569,446","1,641,172",+4.6%
153,Trinidad and Tobago,Americas,Caribbean,"1,389,843","1,394,973",+0.4%
154,Equatorial Guinea,Africa,Middle Africa,"1,308,975","1,355,986",+3.6%
155,Estonia,Europe,Northern Europe,"1,322,920","1,325,648",+0.2%
156,East Timor,Asia,South-eastern Asia,"1,267,974","1,293,119",+2.0%
157,Mauritius[p],Africa,Eastern Africa,"1,189,265","1,198,575",+0.8%
158,Cyprus[q],Asia,Western Asia,"1,170,125","1,179,551",+0.8%
159,Eswatini (Swaziland),Africa,Southern Africa,"1,136,281","1,148,130",+1.0%
160,Djibouti,Africa,Eastern Africa,"958,923","973,560",+1.5%
161,Fiji,Oceania,Melanesia,"883,483","889,953",+0.7%
162,Réunion,Africa,Eastern Africa,"882,526","888,927",+0.7%
163,Comoros,Africa,Eastern Africa,"832,322","850,886",+2.2%
164,Guyana,Americas,South America,"779,006","782,766",+0.5%
165,Bhutan,Asia,Southern Asia,"754,388","763,092",+1.2%
166,Solomon Islands,Oceania,Melanesia,"652,857","669,823",+2.6%
167,Macau,Asia,Eastern Asia,"631,636","640,445",+1.4%
168,Montenegro,Europe,Southern Europe,"627,809","627,987",0.0%
169,Luxembourg,Europe,Western Europe,"604,245","615,729",+1.9%
170,Western Sahara,Africa,Northern Africa,"567,402","582,463",+2.7%
171,Suriname,Americas,South America,"575,990","581,372",+0.9%
172,Cape Verde,Africa,Western Africa,"543,767","549,935",+1.1%
173,Maldives,Asia,Southern Asia,"515,696","530,953",+3.0%
174,Guadeloupe[r],Americas,Caribbean,"446,928","447,905",+0.2%
175,Malta,Europe,Southern Europe,"439,248","440,372",+0.3%
176,Brunei,Asia,South-eastern Asia,"428,963","433,285",+1.0%
177,Belize,Americas,Central America,"383,071","390,353",+1.9%
178,Bahamas,Americas,Caribbean,"385,637","389,482",+1.0%
179,Martinique,Americas,Caribbean,"375,673","375,554",0.0%
180,Iceland,Europe,Northern Europe,"336,713","339,031",+0.7%
181,Vanuatu,Oceania,Melanesia,"292,680","299,882",+2.5%
182,Barbados,Americas,Caribbean,"286,641","287,025",+0.1%
183,New Caledonia,Oceania,Melanesia,"279,993","282,750",+1.0%
184,French Guiana,Americas,South America,"275,713","282,731",+2.5%
185,French Polynesia,Oceania,Polynesia,"277,679","279,287",+0.6%
186,Mayotte,Africa,Eastern Africa,"259,531","266,150",+2.6%
187,Sao Tome and Principe,Africa,Middle Africa,"211,028","215,056",+1.9%
188,Samoa,Oceania,Polynesia,"196,129","197,097",+0.5%
189,Saint Lucia,Americas,Caribbean,"181,889","182,790",+0.5%
190,Guernsey and  Jersey,Europe,Northern Europe,"170,499","172,259",+1.0%
191,Guam,Oceania,Micronesia,"165,768","167,294",+0.9%
192,Curaçao,Americas,Caribbean,"162,752","163,424",+0.4%
193,Kiribati,Oceania,Micronesia,"115,847","117,606",+1.5%
194,Federated States of Micronesia,Oceania,Micronesia,"112,640","113,815",+1.0%
195,Grenada,Americas,Caribbean,"111,454","112,003",+0.5%
196,Tonga,Oceania,Polynesia,"110,589","110,940",+0.3%
197,Saint Vincent and the Grenadines,Americas,Caribbean,"110,211","110,589",+0.3%
198,Aruba,Americas,Caribbean,"105,845","106,314",+0.4%
199,United States Virgin Islands,Americas,Caribbean,"104,680","104,578",−0.1%
200,Seychelles,Africa,Eastern Africa,"97,096","97,739",+0.7%
201,Antigua and Barbuda,Americas,Caribbean,"96,286","97,118",+0.9%
202,Isle of Man,Europe,Northern Europe,"84,077","84,584",+0.6%
203,Andorra,Europe,Southern Europe,"77,006","77,142",+0.2%
204,Dominica,Americas,Caribbean,"71,625","71,808",+0.3%
205,Cayman Islands,Americas,Caribbean,"64,174","64,948",+1.2%
206,Bermuda,Americas,Northern America,"62,756","62,506",−0.4%
207,Marshall Islands,Oceania,Micronesia,"58,413","58,791",+0.6%
208,Greenland,Americas,Northern America,"56,564","56,672",+0.2%
209,Northern Mariana Islands,Oceania,Micronesia,"56,882","56,188",−1.2%
210,American Samoa,Oceania,Polynesia,"55,465","55,312",−0.3%
211,Saint Kitts and Nevis,Americas,Caribbean,"52,441","52,823",+0.7%
212,Faroe Islands,Europe,Northern Europe,"48,497","48,678",+0.4%
213,Sint Maarten,Americas,Caribbean,"41,940","42,388",+1.1%
214,Monaco,Europe,Western Europe,"38,682","38,964",+0.7%
215,Turks and Caicos Islands,Americas,Caribbean,"37,665","38,191",+1.4%
216,Liechtenstein,Europe,Western Europe,"37,910","38,019",+0.3%
217,San Marino,Europe,Southern Europe,"33,785","33,860",+0.2%
218,Gibraltar,Europe,Southern Europe,"33,718","33,701",−0.1%
219,British Virgin Islands,Americas,Caribbean,"29,802","30,030",+0.8%
220,Caribbean Netherlands[s],Americas,Caribbean,"25,711","25,979",+1.0%
221,Palau,Oceania,Micronesia,"17,907","18,008",+0.6%
222,Cook Islands,Oceania,Polynesia,"17,518","17,548",+0.2%
223,Anguilla,Americas,Caribbean,"14,731","14,869",+0.9%
224,Tuvalu,Oceania,Polynesia,"11,508","11,646",+1.2%
225,Wallis and Futuna,Oceania,Polynesia,"11,661","11,432",−2.0%
226,Nauru,Oceania,Micronesia,"10,670","10,756",+0.8%
227,"Saint Helena, Ascension and Tristan da Cunha",Africa,Western Africa,"6,035","6,059",+0.4%
228,Saint Pierre and Miquelon,Americas,Northern America,"5,849","5,822",−0.5%
229,Montserrat,Americas,Caribbean,"4,993","4,989",−0.1%
230,Falkland Islands,Americas,South America,"3,234","3,377",+4.4%
231,Niue,Oceania,Polynesia,"1,620","1,615",−0.3%
232,Tokelau,Oceania,Polynesia,"1,319","1,340",+1.6%
233,Vatican City[t],Europe,Southern Europe,801,799,−0.2%
